OBJECTID,AHN_COUNT,AHN_AREA,AHN_MIN,AHN_MAX,AHN_RANGE,AHN_MEAN,AHN_STD,AHN_SUM
1526955,606,15150.00000000000,16.62400054930,17.11700057980,0.49300003052,16.80154458600,0.08056073741,10181.73601910000
1526956,466,11650.00000000000,16.42399978640,16.81599998470,0.39200019836,16.71085409240,0.05290655901,7787.25800705000
1526985,194,4850.00000000000,17.78599929810,18.47200012210,0.68600082398,18.01657219520,0.17476406781,3495.21500587000
1526986,1171,29275.00000000000,17.92499923710,18.51899909970,0.59399986267,18.25559778970,0.11101001084,21377.30501170000
1527215,970,24250.00000000000,17.20499992370,17.72699928280,0.52199935913,17.46075359230,0.08268470479,16936.93098450000
1527251,2097,52425.00000000000,16.46999931340,17.38999938960,0.92000007629,16.98935477890,0.17720512157,35626.67697140000
1527499,367,9175.00000000000,17.01899909970,17.67200088500,0.65300178528,17.41325070750,0.14643980639,6390.66300964000
1527500,868,21700.00000000000,16.13199996950,16.83499908450,0.70299911499,16.56686175910,0.11108329297,14380.03600690000
1527573,1891,47275.00000000000,17.04800033570,17.66600036620,0.61800003052,17.34938073830,0.14256492243,32807.67897610000
1527574,1852,46300.00000000000,16.41500091550,17.75000000000,1.33499908447,17.21536015430,0.27343265257,31882.84700580000
1527594,1414,35350.00000000000,13.72599983220,15.79699993130,2.07100009918,14.58686846350,0.42036422578,20625.83200740000
1527746,491,12275.00000000000,16.32200050350,16.89900016780,0.57699966431,16.71336049310,0.07339916399,8206.26000214000
1528361,2800,70000.00000000000,12.91199970250,13.81799983980,0.90600013733,13.22922641860,0.09565023649,37041.83397200000
1528992,1190,29750.00000000000,16.37400054930,17.14399909970,0.76999855042,16.69467312630,0.17263430720,19866.66102030000
1528999,184,4600.00000000000,15.62399959560,16.53000068660,0.90600109100,15.90998914450,0.17753303602,2927.43800259000
1529027,157,3925.00000000000,16.57200050350,17.27700042720,0.70499992371,16.93947137240,0.11700469112,2659.49700546000
1529059,1601,40025.00000000000,15.51700019840,16.42200088500,0.90500068665,16.20102124150,0.13260985014,25937.83500770000
1529097,330,8250.00000000000,15.97099971770,17.03199958800,1.06099987030,16.62830307990,0.27816142100,5487.34001637000
1529296,451,11275.00000000000,17.23999977110,17.81200027470,0.57200050354,17.45064520990,0.06654868317,7870.24098969000
1529297,163,4075.00000000000,17.90699958800,18.23999977110,0.33300018311,18.03376683430,0.06513706857,2939.50399399000
1529362,202,5050.00000000000,16.99300003050,19.37999916080,2.38699913025,18.38417325160,0.65388469020,3713.60299683000
1529450,2945,73625.00000000000,16.71199989320,17.65299987790,0.94099998474,17.14406383300,0.17587615008,50489.26798820000
1529513,1025,25625.00000000000,16.75200080870,17.42000007630,0.66799926758,17.00018244490,0.14708001714,17425.18700600000
1529535,2626,65650.00000000000,17.06100082400,17.96100044250,0.89999961853,17.49766792710,0.13856981195,45948.87597660000
1529700,981,24525.00000000000,15.50599956510,16.30100059510,0.79500102997,15.97609477380,0.10514298069,15672.54897310000
1529701,2045,51125.00000000000,15.64799976350,17.02000045780,1.37200069427,16.36472225100,0.26747496654,33465.85700320000
1529776,2406,60150.00000000000,16.90500068660,17.82099914550,0.91599845886,17.49533084070,0.16410834087,42093.76600270000
1529777,1009,25225.00000000000,17.04299926760,17.74500083920,0.70200157166,17.36521112390,0.08330692725,17521.49802400000
1529778,302,7550.00000000000,16.98900032040,17.82699966430,0.83799934387,17.20744035100,0.08136902791,5196.64698601000
1529953,148,3700.00000000000,15.93599987030,16.34300041200,0.40700054169,16.10182434800,0.11438048273,2383.07000351000
1530104,1151,28775.00000000000,16.96299934390,17.47599983220,0.51300048828,17.15822587900,0.08636723715,19749.11798670000
1530105,266,6650.00000000000,16.74200057980,17.20899963380,0.46699905396,16.94090976570,0.08586098216,4506.28199768000
1530528,1090,27250.00000000000,16.35300064090,17.66399955750,1.31099891663,17.09879906330,0.30099608877,18637.69097900000
1531017,75,1875.00000000000,16.73299980160,17.19000053410,0.45700073242,17.03684010820,0.07530483039,1277.76300812000
1531018,199,4975.00000000000,16.86300086980,17.29700088500,0.43400001526,17.02077882850,0.07359772897,3387.13498688000
1531019,1599,39975.00000000000,16.78000068660,18.20800018310,1.42799949646,17.53848218530,0.33130787757,28044.03301430000
1531731,236,5900.00000000000,12.75599956510,13.71800041200,0.96200084686,13.18763558740,0.15647450246,3112.28199863000
1532017,713,17825.00000000000,16.69300079350,17.62999916080,0.93699836731,17.12430994110,0.14808439491,12209.63298800000
1532085,361,9025.00000000000,16.62700080870,17.36300086980,0.73600006104,17.02934623360,0.07338697946,6147.59399033000
1532162,862,21550.00000000000,16.38199996950,17.04899978640,0.66699981690,16.70615780160,0.14922646889,14400.70802500000
1532184,2303,57575.00000000000,17.03100013730,17.93000030520,0.89900016785,17.47360093340,0.18967224398,40241.70294950000
1532267,597,14925.00000000000,16.77499961850,17.19799995420,0.42300033569,16.98999495000,0.08657880682,10143.02698520000
1532268,538,13450.00000000000,16.61700057980,17.35899925230,0.74199867249,17.03607994560,0.11856935107,9165.41101074000
